fips,cases,deaths,cured
17087,1483,22,1461
17089,59547,863,58684
17091,14601,225,14376
17093,13888,108,13780
17095,5660,187,5473
17099,12795,306,12489
17097,68451,1093,67358
17101,2410,36,2374
17103,4192,93,4099
17105,4908,103,4805
17107,3997,77,3920
17115,11013,222,10791
17117,4802,118,4684
17119,31139,605,30534
17121,4530,123,4407
17123,1083,21,1062
17125,1553,46,1507
17127,1363,43,1320
17109,2940,63,2877
17111,29205,322,28883
17113,18562,226,18336
17129,1255,16,1239
17131,1499,34,1465
17133,4399,94,4305
17135,3800,80,3720
17137,4076,105,3971
17139,1637,36,1601
17141,6230,92,6138
17143,23588,369,23219
17145,3203,69,3134
17147,1526,20,1506
17149,1833,56,1777
17151,331,4,327
17153,703,7,696
17155,487,4,483
17157,4171,93,4078
17159,1769,49,1720
17161,15258,372,14886
17165,2607,73,2534
17167,19155,281,18874
17169,783,19,764
17171,492,1,491
17173,2328,41,2287
17163,31603,563,31040
17175,648,24,624
17177,4838,104,4734
17179,17245,340,16905
17181,2303,45,2258
17183,10053,162,9891
17185,1371,15,1356
17187,1848,52,1796
17189,1651,31,1620
17191,1821,54,1767
17193,1707,36,1671
17195,7294,216,7078
17197,77030,1110,75920
17199,7646,146,7500
17201,34193,540,33653
17203,4859,96,4763
18001,3521,57,3464
18003,41875,714,41161
18005,8202,162,8040
18007,1043,14,1029
18009,1375,32,1343
18011,7044,108,6936
18013,1044,43,1001
18015,1943,23,1920
18017,6040,112,5928
18019,13269,205,13064
18021,2688,48,2640
18023,4462,60,4402
18025,1026,17,1009
18027,3053,102,2951
18033,4420,88,4332
18029,5915,81,5834
18031,2957,96,2861
18035,11005,205,10800
18037,6228,119,6109
18039,29572,477,29095
18041,2986,66,2920
18043,7837,185,7652
18045,2259,49,2210
18047,1724,36,1688
18049,2044,43,2001
18051,4477,98,4379
18053,7677,187,7490
18055,2881,89,2792
18057,36757,442,36315
18059,8630,151,8479
18061,4421,77,4344
18063,17817,339,17478
18065,5920,113,5807
18067,10402,228,10174
18069,4042,83,3959
18071,5100,78,5022
18073,3910,57,3853
18075,2025,35,1990
18077,3366,87,3279
18079,2358,51,2307
18081,18590,406,18184
18083,3791,91,3700
18085,9673,128,9545
18087,2743,74,2669
18091,12459,224,12235
18089,56175,1057,55118
18093,4782,126,4656
18095,13243,364,12879
18097,103743,1857,101886
18099,6254,118,6136
18101,921,15,906
18103,3985,70,3915
18105,12271,179,12092
18107,4426,92,4334
18109,6801,146,6655
18111,1172,38,1134
18113,5831,92,5739
18115,579,11,568
18117,1890,58,1832
18119,2140,60,2080
18121,1512,16,1496
18123,1883,38,1845
18125,1385,34,1351
18127,19418,338,19080
18129,2749,35,2714
18131,1211,48,1163
18133,3750,61,3689
18135,2495,84,2411
18137,3484,71,3413
18139,1830,26,1804
18143,2714,60,2654
18145,6029,107,5922
18147,2348,31,2317
18141,37076,584,36492
18149,2285,61,2224
18151,4029,61,3968
18153,2159,43,2116
18155,820,8,812
18157,23006,231,22775
18159,1678,49,1629
18161,756,11,745
18163,22654,407,22247
18165,1761,44,1717
18167,12667,258,12409
18169,3628,83,3545
18171,853,16,837
18173,7885,159,7726
18175,2466,37,2429
18177,7557,205,7352
18179,2987,83,2904
18181,3345,54,3291
18183,4075,44,4031
19001,876,32,844
19003,348,4,344
19005,1529,52,1477
19007,1291,49,1242
19009,534,11,523
19011,2615,55,2560
19013,16298,315,15983
19015,2686,34,2652
19017,2892,62,2830
19019,1944,34,1910
19021,4273,40,4233
19023,1668,35,1633
19025,1392,13,1379
19027,2873,52,2821
19029,1391,55,1336
19031,1924,23,1901
19033,5551,97,5454
19035,1599,38,1561
19037,1251,17,1234
19039,1013,24,989
19041,2168,27,2141
19043,1713,57,1656
19045,5617,93,5524
19047,2687,41,2646
19049,11303,99,11204
19051,853,25,828
19053,620,9,611
19055,2111,43,2068
19057,4693,73,4620
19059,2495,44,2451
19061,13536,212,13324
19063,1360,41,1319
19065,1874,43,1831
19067,1638,42,1596
19069,1236,23,1213
19071,627,10,617
19073,781,11,770
19075,1377,33,1344
19077,1234,32,1202
19079,1820,51,1769
19081,1506,34,1472
19083,1884,44,1840
19085,1801,73,1728
19087,2954,37,2917
19089,1051,22,1029
19091,1203,26,1177
19093,917,35,882
19095,1500,24,1476
19097,2252,42,2210
19099,4216,73,4143
19101,1337,35,1302
19103,14642,85,14557
19105,3011,57,2954
19107,971,32,939
19109,2163,66,2097
19111,3846,57,3789
19113,21283,341,20942
19115,1300,49,1251
19117,780,23,757
19119,1599,41,1558
19121,1647,19,1628
19123,2328,51,2277
19125,3661,77,3584
19127,4884,76,4808
19129,1642,24,1618
19131,1267,43,1224
19133,836,31,805
19135,964,32,932
19137,1036,38,998
19139,4891,106,4785
19141,1998,61,1937
19143,789,17,772
19145,1945,22,1923
19147,1135,23,1112
19149,4034,81,3953
19151,858,22,836
19153,58334,642,57692
19155,11243,176,11067
19157,1572,36,1536
19159,565,24,541
19161,1310,20,1290
19163,20331,249,20082
19165,1318,37,1281
19167,5178,74,5104
19169,10728,48,10680
19171,2127,71,2056
19173,668,12,656
19175,1301,35,1266
19177,565,18,547
19179,4344,122,4222
19181,5848,92,5756
19183,2575,51,2524
19185,548,23,525
19187,5195,94,5101
19189,1446,31,1415
19191,2003,35,1968
19193,15253,230,15023
19195,762,8,754
19197,1866,40,1826
20001,1258,20,1238
20003,852,18,834
20005,1540,14,1526
20007,374,6,368
20009,2615,51,2564
20011,1441,28,1413
20013,1243,38,1205
20015,7664,91,7573
20017,278,3,275
20019,271,6,265
20021,2619,53,2566
20023,371,13,358
20025,250,7,243
20027,826,30,796
20029,1004,25,979
20031,751,23,728
20033,172,9,163
20035,4008,108,3900
20037,4885,83,4802
20039,281,12,269
20041,1825,47,1778
20043,1044,23,1021
20045,9391,85,9306
20047,267,12,255
20049,181,5,176
20051,3764,73,3691
20053,1226,25,1201
20055,6114,73,6041
20057,5789,76,5713
20059,2601,43,2558
20061,3650,42,3608
20063,388,19,369
20065,265,9,256
20067,985,18,967
20069,611,14,597
20071,104,1,103
20073,589,11,578
20075,210,1,209
20077,630,18,612
20079,3710,72,3638
20081,416,9,407
20083,213,9,204
20085,1419,17,1402
20087,1763,38,1725
20089,216,6,210
20091,59916,771,59145
20093,573,10,563
